color,dealer_rating,miles,miles_away,pricing,trim,year
Blue,,25894,95.9,22496,Grand Touring,2016
Black,,66500,143.5,17996,Grand Touring,2016
Silver,,64525,143.5,18369,Grand Touring,2016
Red,,31890,143.5,22996,Touring,2017
Blue,,34392,179.2,19997,Touring,2016
Gray,,248232,192.3,4900,Touring,2015
Blue,,80364,192.3,16900,Grand Touring,2016
Red,,73660,119.3,16900,Grand Touring,2014
Blue,,32961,124.1,18976,Touring,2016
White,,101718,125.6,12595,Touring,2013
Silver,,83520,142.3,16988,Touring,2016
Black,,88478,146.9,15995,Grand Touring,2016
White,,63021,147.9,19355,Grand Touring,2016
White,,92547,158.3,12999,Grand Touring,2013
Silver,,78785,159.2,16487,Grand Touring,2016
Silver,,33043,159.7,24499,Grand Touring,2018
Red,,77210,160.2,16000,Touring,2016
Gray,,55791,160.2,19600,Grand Touring,2016
Red,,2739,160.2,27800,Touring,2019
Blue,,16590,160.2,28500,Grand Touring,2019
Black,,4900,160.2,29800,Grand Touring,2019
White,,5428,160.2,29800,Grand Touring,2019
Red,,46736,162.0,19900,Grand Touring,2016
Red,,16228,162.7,25421,Grand Touring,2017
Red,,45883,174.0,19830,Grand Touring,2016
White,,38889,174.0,21760,Touring,2018
Silver,,32991,174.0,23476,Touring,2018
Gray,,33493,178.0,20995,Grand Touring,2016
Blue,,16500,181.1,21995,Sport,2018
Gray,,39877,181.1,23995,Grand Touring,2017
Red,,43520,183.7,16495,Grand Touring,2016
White,,33032,183.7,16995,Grand Touring,2016
Gray,,39387,194.2,22900,Touring,2018
White,,24915,194.2,23500,Touring,2018
Blue,,18964,194.2,28500,Grand Touring,2019
Silver,,32939,44.1,21900,Touring,2018
Silver,,45342,,16800,Touring,2016
